1,2,3,4,5,6,7,8,9,10,11,12,Validity
0.5,0.166667,0.083333,0.083333,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,True
0.4375,0.1875,0.125,0.0625,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,True
0.45,0.15,0.15,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,True
0.416667,0.125,0.125,0.083333,0.083333,0.083333,0.041667,0.041667,0.0,0.0,0.0,0.0,True
0.428571,0.142857,0.107143,0.107143,0.071429,0.071429,0.035714,0.035714,0.0,0.0,0.0,0.0,True
0.46875,0.125,0.125,0.09375,0.0625,0.0625,0.03125,0.03125,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.375,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.083333,0.083333,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,True
0.375,0.1875,0.125,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,True
0.35,0.15,0.1,0.1,0.1,0.1,0.05,0.05,0.0,0.0,0.0,0.0,True
0.375,0.166667,0.125,0.083333,0.083333,0.083333,0.041667,0.041667,0.0,0.0,0.0,0.0,True
0.428571,0.142857,0.107143,0.107143,0.071429,0.071429,0.035714,0.035714,0.0,0.0,0.0,0.0,True
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.083333,0.083333,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,True
0.3125,0.125,0.125,0.125,0.125,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0,True
0.35,0.15,0.15,0.1,0.1,0.05,0.05,0.05,0.0,0.0,0.0,0.0,True
0.416667,0.125,0.125,0.083333,0.083333,0.083333,0.041667,0.041667,0.0,0.0,0.0,0.0,True
0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.375,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.333333,0.166667,0.166667,0.166667,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,True
0.375,0.1875,0.125,0.125,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,True
0.45,0.15,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.375,0.25,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.416667,0.166667,0.166667,0.166667,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.125,0.125,0.125,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.375,0.25,0.25,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.166667,0.166667,0.083333,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.625,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
