offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
98.0,0.0,0.307692,0.0,0.0,0.025641,0.0,0.25641,0.0,0.102564,0.307692,0.0,0.307692,0.0,0.0,0.025641,0.0,0.25641,0.0,0.102564,0.307692,0.0,0.307692,0.307692,0.282051,0.307692,0.051282,0.307692,0.205128,0.0,0.307692,0.0,0.025641,0.0,0.25641,0.0,0.102564,0.307692,0.0,0.025641,0.0,0.25641,0.0,0.102564,0.307692,0.0,0.025641,0.230769,0.025641,0.076923,0.282051,0.025641,0.25641,0.0,0.102564,0.307692,0.0,0.25641,0.153846,0.051282,0.25641,0.102564,0.307692,0.0,0.205128,0.102564,0.307692,1.0,G,False,I,Minor
103.0,0.142857,0.071428,0.285714,0.142857,0.071428,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.071429,0.428571,0.0,0.071429,0.0,0.285714,0.0,0.0,0.0,0.0,0.357142,0.071429,0.0,0.071429,0.214285,0.071429,0.071429,0.071429,0.071429,0.428571,0.357142,0.428571,0.142857,0.428571,0.428571,0.428571,0.428571,0.071429,0.0,0.285714,0.0,0.0,0.0,0.0,0.071429,0.214285,0.071429,0.071429,0.071429,0.071429,0.285714,0.0,0.0,0.0,0.0,0.285714,0.285714,0.285714,0.285714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,G,False,IV,Minor
107.0,0.290323,0.290323,0.161291,0.290323,0.032258,0.290323,0.161291,0.290323,0.096775,0.290323,0.290323,0.0,0.129032,0.0,0.258065,0.0,0.129032,0.0,0.193548,0.0,0.0,0.129032,0.0,0.258065,0.0,0.129032,0.0,0.193548,0.0,0.0,0.129032,0.129033,0.129032,0.0,0.129032,0.064516,0.129032,0.129032,0.258065,0.0,0.129032,0.0,0.193548,0.0,0.0,0.258065,0.129033,0.258065,0.064517,0.258065,0.258065,0.129032,0.0,0.193548,0.0,0.0,0.129032,0.064516,0.129032,0.129032,0.193548,0.0,0.0,0.193548,0.193548,0.0,1.0,G,False,VIIdim,Diminished
111.0,0.125,0.25,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.375,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.375,0.125,0.375,0.375,0.375,0.375,0.25,0.375,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.25,0.25,0.25,0.25,0.125,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.125,1.0,G,False,III,Major
113.0,0.125,0.5,0.125,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.125,0.625,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.625,0.625,0.625,0.5,0.625,0.625,0.5,0.625,0.625,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,1.0,G,False,V+,Major
115.0,0.125,0.1875,0.125,0.125,0.125,0.125,0.15625,0.125,0.0625,0.09375,0.125,0.3125,0.0,0.0,0.0,0.0,0.28125,0.0,0.0625,0.21875,0.0,0.3125,0.3125,0.3125,0.3125,0.03125,0.3125,0.25,0.09375,0.3125,0.0,0.0,0.0,0.28125,0.0,0.0625,0.21875,0.0,0.0,0.0,0.28125,0.0,0.0625,0.21875,0.0,0.0,0.28125,0.0,0.0625,0.21875,0.0,0.28125,0.0,0.0625,0.21875,0.0,0.28125,0.21875,0.0625,0.28125,0.0625,0.21875,0.0,0.15625,0.0625,0.21875,1.0,G,False,I,Minor
119.0,0.25,0.0625,0.03125,0.25,0.25,0.25,0.03125,0.25,0.25,0.25,0.25,0.1875,0.28125,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.09375,0.1875,0.1875,0.1875,0.09375,0.1875,0.1875,0.1875,0.1875,0.28125,0.28125,0.28125,0.0,0.28125,0.28125,0.28125,0.28125,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.28125,0.0,0.0,0.0,0.0,0.28125,0.28125,0.28125,0.28125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,G,False,IV,Minor
123.0,0.15625,0.15625,0.15625,0.15625,0.3125,0.15625,0.03125,0.15625,0.09375,0.15625,0.15625,0.0,0.0,0.0,0.46875,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.46875,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.46875,0.0,0.125,0.0,0.25,0.0,0.0,0.46875,0.0,0.125,0.0,0.25,0.0,0.0,0.46875,0.34375,0.46875,0.21875,0.46875,0.46875,0.125,0.0,0.25,0.0,0.0,0.125,0.125,0.125,0.125,0.25,0.0,0.0,0.25,0.25,0.0,1.0,G,False,VIIdim,Diminished
127.0,0.0,0.6875,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.1875,0.0,0.6875,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0,0.1875,0.0,0.625,0.6875,0.625,0.6875,0.6875,0.6875,0.6875,0.5,0.6875,0.0625,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,0.0,0.0,0.0,0.0,0.1875,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.1875,0.0,0.0,0.1875,0.0,0.1875,0.0,0.1875,1.0,G,False,III,Major
129.0,0.1875,0.0625,0.1875,0.1875,0.1875,0.0,0.0625,0.1875,0.0,0.125,0.1875,0.25,0.0,0.0,0.0,0.1875,0.125,0.0,0.1875,0.0625,0.0,0.25,0.25,0.25,0.0625,0.125,0.25,0.0625,0.1875,0.25,0.0,0.0,0.1875,0.125,0.0,0.1875,0.0625,0.0,0.0,0.1875,0.125,0.0,0.1875,0.0625,0.0,0.1875,0.125,0.0,0.1875,0.0625,0.0,0.0625,0.1875,0.0,0.125,0.1875,0.125,0.0625,0.0625,0.125,0.1875,0.0625,0.0,0.125,0.1875,0.0625,1.0,G,False,V+,Major
131.0,0.125,0.21875,0.125,0.125,0.125,0.125,0.0625,0.125,0.0,0.09375,0.125,0.34375,0.0,0.0,0.0,0.0,0.1875,0.0,0.125,0.21875,0.0,0.34375,0.34375,0.34375,0.34375,0.15625,0.34375,0.21875,0.125,0.34375,0.0,0.0,0.0,0.1875,0.0,0.125,0.21875,0.0,0.0,0.0,0.1875,0.0,0.125,0.21875,0.0,0.0,0.1875,0.0,0.125,0.21875,0.0,0.1875,0.0,0.125,0.21875,0.0,0.1875,0.0625,0.03125,0.1875,0.125,0.21875,0.0,0.09375,0.125,0.21875,1.0,G,False,I,Minor
135.0,0.21875,0.03125,0.0625,0.21875,0.21875,0.21875,0.09375,0.21875,0.21875,0.21875,0.21875,0.1875,0.28125,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.09375,0.1875,0.1875,0.1875,0.125,0.1875,0.1875,0.1875,0.1875,0.28125,0.28125,0.28125,0.03125,0.28125,0.28125,0.28125,0.28125,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0,0.3125,0.3125,0.3125,0.3125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,G,False,IV,Minor
139.0,0.176471,0.176471,0.176471,0.176471,0.294117,0.176471,0.058824,0.176471,0.058823,0.176471,0.176471,0.0,0.0,0.0,0.470588,0.0,0.117647,0.0,0.235294,0.0,0.0,0.0,0.0,0.470588,0.0,0.117647,0.0,0.235294,0.0,0.0,0.0,0.470588,0.0,0.117647,0.0,0.235294,0.0,0.0,0.470588,0.0,0.117647,0.0,0.235294,0.0,0.0,0.470588,0.352941,0.470588,0.235294,0.470588,0.470588,0.117647,0.0,0.235294,0.0,0.0,0.117647,0.117647,0.117647,0.117647,0.235294,0.0,0.0,0.235294,0.235294,0.0,1.0,G,False,VIIdim,Diminished
143.0,0.071429,0.5,0.0,0.071429,0.071428,0.071429,0.071429,0.071429,0.071429,0.071428,0.071429,0.571429,0.071429,0.0,0.142857,0.0,0.0,0.0,0.0,0.142857,0.0,0.5,0.571429,0.428572,0.571429,0.571429,0.571429,0.571429,0.428572,0.571429,0.071429,0.071428,0.071429,0.071429,0.071429,0.071429,0.071428,0.071429,0.142857,0.0,0.0,0.0,0.0,0.142857,0.0,0.142857,0.142857,0.142857,0.142857,0.0,0.142857,0.0,0.0,0.0,0.142857,0.0,0.0,0.0,0.142857,0.0,0.0,0.142857,0.0,0.142857,0.0,0.142857,1.0,G,False,III,Major
145.0,0.0625,0.59375,0.03125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.65625,0.03125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.625,0.65625,0.65625,0.53125,0.65625,0.65625,0.53125,0.65625,0.65625,0.03125,0.03125,0.09375,0.03125,0.03125,0.09375,0.03125,0.03125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,1.0,G,False,V+,Major
151.0,0.0,0.5,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.5,0.125,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.375,0.5,0.5,0.5,0.25,0.5,0.5,0.375,0.5,0.125,0.125,0.125,0.125,0.125,0.125,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.125,0.0,0.25,0.25,0.125,0.25,0.0,0.125,0.0,0.125,0.0,0.125,1.0,G,False,I,Minor
153.0,0.5,0.5,0.125,0.5,0.5,0.5,0.4375,0.5,0.4375,0.5,0.5,0.0,0.375,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.375,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.375,0.375,0.375,0.3125,0.375,0.3125,0.375,0.375,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0625,0.0625,0.0625,0.0,0.0,0.0625,0.0625,0.0,1.0,G,False,IV,Minor
