offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total
0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.333,1.0
1.0,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1.0
2.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.333,1.0
3.0,0.333,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.583,1.25
4.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,1.333,0.0,0.0,0.0,0.667,2.333
5.0,0.333,0.0,0.0,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.333,2.0
6.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,1.333,0.0,0.0,0.0,0.333,2.0
7.0,0.333,0.0,0.0,0.0,0.833,0.0,0.5,0.0,0.0,0.0,0.0,0.333,2.0
8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.333,2.0
9.0,0.333,0.0,0.0,1.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.333,2.0
10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.333,2.0
11.0,0.583,0.0,0.0,0.0,1.083,0.0,0.0,0.0,0.0,0.0,0.0,0.333,2.0
12.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.0,1.333,2.0
13.0,0.333,0.0,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.0,0.833,2.0
14.0,0.5,0.0,0.0,0.0,0.333,0.0,0.0,0.833,0.0,0.5,0.0,0.833,3.0
15.0,0.333,0.0,0.0,0.0,0.833,0.0,0.5,0.5,0.0,0.5,0.0,0.333,3.0
16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.333,0.0,0.0,0.667,0.0,3.0
18.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0
19.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.333,1.0
20.0,0.0,0.0,1.333,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,1.333,3.0
21.0,0.0,0.0,0.333,0.0,0.333,1.0,0.0,0.333,0.0,0.0,0.0,1.0,3.0
22.0,0.0,0.333,0.0,0.0,0.0,0.0,1.667,0.0,0.0,0.0,0.0,1.0,3.0
23.0,0.0,1.333,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,1.0,0.0,3.0
24.0,0.0,0.0,1.333,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,1.333,3.0
25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,1.333,3.0
26.0,0.0,0.0,1.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,1.333,3.0
27.0,0.0,0.0,1.0,0.0,0.0,0.667,0.0,0.0,0.333,0.0,0.0,1.0,3.0
28.0,0.0,1.333,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,1.0,3.0
29.0,0.0,1.0,0.0,0.0,0.333,0.0,0.333,0.333,0.0,0.0,0.0,1.0,3.0
30.0,0.0,1.333,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,1.333,0.0,3.0
31.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,1.667,2.0
33.0,0.333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333,2.667
34.0,0.333,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333,2.667
35.0,0.333,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.333,2.667
36.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,2.333,0.0,0.0,0.0,0.333,3.0
37.0,0.333,0.0,0.0,0.0,0.333,0.0,0.0,2.0,0.0,0.0,0.0,0.333,3.0
38.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,2.333,0.0,0.0,0.0,0.333,3.0
39.0,0.333,0.0,0.0,0.0,1.333,0.0,1.0,0.0,0.0,0.0,0.0,0.333,3.0
40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.333,3.0
41.0,0.333,0.0,0.0,2.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.333,3.0
42.0,0.0,0.0,0.0,0.667,0.667,0.0,0.667,0.333,0.0,0.333,0.0,0.333,3.0
43.0,0.333,0.0,0.0,0.0,0.333,0.0,0.667,0.667,0.0,0.667,0.0,0.333,3.0
44.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.0,2.333,3.0
45.0,0.333,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.5,0.0,1.833,3.0
46.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.667,0.333,0.333,0.0,1.333,3.0
47.0,0.333,0.0,0.0,0.0,0.667,0.0,0.333,0.667,0.0,0.333,0.0,0.667,3.0
48.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.333,0.0,0.0,0.333,0.333,3.0
50.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
51.0,0.0,0.0,0.0,1.333,0.0,0.0,1.333,0.0,0.0,0.0,0.0,0.333,3.0
52.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
53.0,0.0,0.0,1.333,0.0,0.0,0.5,0.0,0.833,0.0,0.0,0.0,0.333,3.0
54.0,0.667,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,3.0
