0,1,2,3,4,5,6,7,8,9,10,11,key,major/minor,chordStyle
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,9
0.5,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,9
0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0,1,11
0.25,0.0,0.75,0.0,0.0,0.25,0.0,1.75,0.0,0.0,0.0,0.0,0,1,11
0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,9
0.5,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,9
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,9
0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,9
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,9
0.5,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,9
0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0,1,11
1.25,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0,1,11
0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0,1,5
0.25,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0,1,5
0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0,1,5
0.25,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0,1,5
0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0,1,5
0.25,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0,1,5
1.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0,1,10
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,10
1.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,4
1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,4
1.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,4
1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,4
1.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,1,9
1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,9
1.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,1,9
1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,9
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8,0,1
0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0,1
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8,0,1
0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0,1
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8,0,1
0.5,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0,1
0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,8,0,5
0.25,0.0,0.75,0.0,0.0,0.25,0.0,1.75,0.0,0.0,0.0,0.0,8,0,5
0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8,0,1
0.5,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0,1
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8,0,1
0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0,1
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8,0,1
0.5,0.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,0,1
0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,8,0,5
1.25,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.25,0.0,0.0,8,0,5
0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,8,0,5
0.25,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,8,0,5
0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,8,0,5
0.25,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,8,0,5
0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,8,0,5
0.25,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,8,0,5
1.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,8,0,4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8,0,4
1.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,8,0,4
1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,8,0,4
1.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,8,0,4
1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,8,0,4
1.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,8,0,1
1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,8,0,1
0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.75,7,0,5
0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,7,0,5
1.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,7,0,1
1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,7,0,1
1.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,7,0,1
1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,7,0,1
0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0,1,6
0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0,1,6
0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0,1,6
0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0,1,6
0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.0,0,1,2
0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2
0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,0,1,2
0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.75,0,1,11
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0,1,11
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.75,0,1,11
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0,1,11
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.75,0,1,11
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0,1,11
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.75,0,1,11
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0,1,11
0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0,1,4
0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1,4
0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0,1,4
0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0,1,4
0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,7,1,16
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,7,1,16
0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.5,7,1,16
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,7,1,16
0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,7,1,1
1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,7,1,1
0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,7,1,1
1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,7,1,1
0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.75,0,1,16
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0,1,16
0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.75,0,1,16
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0,1,16
0.75,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,4
0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,4
0.75,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,4
0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,4
0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0,1,6
0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0,1,6
0.25,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.25,0.0,0.0,0.0,0,1,6
0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0,1,6
0.25,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,1,2
0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2
0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0,1,2
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0,1,2
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.5,0.75,0.0,0.0,0.25,0,1,12
0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.5,0,1,12
0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.25,0.75,0.0,0.0,0.25,0,1,12
0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.5,0,1,12
0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.25,0.0,0.0,0.0,0.25,0,1,12
0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5,0,1,12
0.0,0.0,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.25,0,1,12
0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.5,0,1,12
0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.25,0,1,12
0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0,1,12
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,0.0,0.0,0,1,6
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0,1,6
0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.0,0.0,0.5,2,1,11
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,2,1,11
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.0,2,1,16
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0,1,12
0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,1
0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1
0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,1
0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1
0.75,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,2
0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2
0.75,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,2
0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2
1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,1,4
1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,4
1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,1,4
1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,4
0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,1
0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1
0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,1
0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1
0.75,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,2
0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2
0.75,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,2
0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2
0.5,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0,1,2
0.25,0.0,0.0,0.5,0.0,0.25,0.0,0.25,0.5,0.0,0.0,0.25,0,1,2
0.25,0.0,0.0,0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0,1,2
0.25,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.25,0,1,2
5.0,0.0,0.0,1.75,0.0,0.0,0.0,1.75,1.0,0.0,1.25,0.0,0,1,1
0.25,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.25,0.0,0.0,0.5,0,1,11
0.0,0.0,1.75,0.0,0.0,0.5,0.0,0.25,0.5,0.0,0.0,0.0,5,1,16
1.5,0.0,0.25,0.0,0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.0,5,1,9
0.25,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.5,0.0,0.0,0.5,0,1,16
0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,1
0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1
0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,1
0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1
0.75,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,2
0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2
0.75,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0,1,2
0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,1,2
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0,1,1
0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0,1,1
0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0,1,1
0.5,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.5,0.0,0,1,1
0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.25,0.5,0.0,0.25,0.0,0,1,8
0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1,8
0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0,1,8
0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1,8
0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0,1,8
0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1,8
0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.0,0,1,8
0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0,1,8
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.75,5,1,16
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,5,1,16
0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.75,5,1,16
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,5,1,16
0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,5,1,13
0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,5,1,13
0.75,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,5,1,13
0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,5,1,13
0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.25,0,1,12
0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0,1,12
0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.25,0,1,2
0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0,1,2
0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0,1,1
1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,1
0.5,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0,1,1
1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,1,1
0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,5,1,11
0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,5,1,11
0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.75,5,1,11
0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,5,1,11
0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.0,5,1,1
0.5,0.0,0.25,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,5,1,1
0.75,0.0,0.0,0.75,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5,1,1
0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,1,1
1.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5,1,1
1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,5,1,1
0.25,0.0,0.75,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0,1,2
